Q8NHU6	Q9UIF3
Q14532	Q15323
P47898	Q8NEV4
O00571	Q96SB4
O95059	P31942
O00311	P83916
O00206	O60307
P30049	Q15181
Q8N350	Q9ULL8
O75964	P17568
P19388	P41567
Q9H252	Q9HBB8
O15371	P43487
Q9H7Z3	Q9UDX4
A1YPR0	Q9UDX4
P22626	P62318
P40227	P62318
P36776	Q9UJY5
Q13426	Q9UBB9
Q9BWU1	Q9UBB9
Q96GQ7	Q9Y262
Q9NRL2	Q9NSP4
Q9UBU8	Q9Y3I0
Q14203	Q9UH99
P00387	P0DP23
P00387	P0DP24
P00387	P0DP25
P62917	Q8IVS2
P61513	Q8IVS2
O14944	P30536
O15371	Q9BPZ3
P46060	P81274
Q7RTV0	Q9Y5S9
Q86U06	Q9Y4E1
Q8NEL9	Q9UEU0
Q99490	Q99538
O76095	P84090
P35544	P84090
P00338	P62191
P0DP23	P28074
P0DP24	P28074
P0DP25	P28074
O43281	Q92828
O95741	P20916
P0DP23	P60900
P0DP24	P60900
P0DP25	P60900
O95072	Q16576
Q15436	Q8N6T3
P08779	Q9H307
P10153	Q13469
P05155	Q9NQP4
P38432	Q9H4B7
O14818	P24941
O14939	Q8N6T3
Q8N6T3	Q96B97
O94855	Q8N6T3
P53992	Q8N6T3
O43143	Q15691
Q15691	Q9UKA1
Q15691	Q9UIL4
Q15691	Q9BVG8
Q15691	Q86VH2
Q16799	Q9P0L0
O60907	P49321
O60907	O96019
Q8N3U4	Q9BZD4
P32004	P51606
Q16576	Q9H0E7
P11274	P98174
P61163	Q92674
P60842	Q9UL03
Q96BT3	Q9BZD4
P49711	Q15185
P51665	P55884
Q08AM6	Q8WUM4
O94778	Q9HBX9
Q12846	Q8IYJ3
Q8WXI9	Q9H7Z6
P23975	P31645
O75150	Q9NPF5
O75150	Q9H4Z2
P61513	Q9H2Y7
Q9H4Z2	Q9HAW0
Q6FHJ7	Q9NPG1
Q9H1J7	Q9NPG1
O15160	Q9NV88
P0DP23	P60228
P0DP24	P60228
P0DP25	P60228
O95613	P60228
P60228	Q15477
Q8TF17	Q92597
O60238	O95352
P18074	P55036
Q7L7X3	Q99426
Q96DZ5	Q9UJT1
Q53EZ4	Q9BZL6
Q9BYD3	Q9Y399
P01569	P29597
P18858	Q9H4L7
O96001	P30153
P30153	P36969
O95777	Q8WWY3
O14662	P20336
P17535	Q08493
P20916	Q86TH1
P17302	P51636
O95453	P49639
P08962	Q86VP1
O00401	P01148
P23381	Q9UGJ0
P60468	Q9BVK6
Q96I24	Q9NRL2
A6H8Y1	O60869
O60869	P37837
Q99962	Q9BV40
Q13136	Q15464
P63220	Q14152
Q14152	Q86V81
Q8IUH5	Q9HB21
P07360	P55075
P39059	Q9NQW7
Q00059	Q8TCD5
Q13617	Q8WU17
Q96A56	Q9Y2X7
O75496	P49720
P00326	P30838
O75161	Q9UPM9
P35680	Q9H267
P62258	Q00169
O14745	O15085
O95198	Q16643
P51790	Q96RR4
P51790	Q16566
