O43900	P06734
O60603	P17676
O60673	P37275
O60716	Q99952
O60784	Q9NPH3
O60880	Q13191
O75170	Q8WWM7
O75461	Q9Y6K1
O75643	Q14C86
O75688	Q13627
O75691	Q9H853
O75832	P15336
O75832	P19338
O75899	Q9UK28
O95071	P50990
O95373	P33176
O95373	Q9NVI1
O95988	Q96B36
P00915	Q12837
P01024	Q14773
P01860	Q9UMW8
P02458	P12107
P04406	P17096
P04899	Q9UIU6
P05015	Q9BSU3
P05155	P42785
P05386	Q9Y6K9
P07910	P49321
P08567	P15498
P09001	Q9Y3F4
P09769	P45880
P09769	P78347
P10145	Q13489
P10747	P11362
P10809	P49454
P11021	P53355
P11021	Q9H4B4
P11049	Q8NHL6
P11215	P48740
P11940	Q12933
P13688	Q8WV28
P14859	P50613
P15036	Q00987
P15056	P62888
P15056	Q9BYG5
P15311	P41743
P17535	P48729
P17600	Q9Y4E6
P17676	P18850
P17676	Q00534
P17858	Q9UKE5
P19438	P61956
P19447	Q14596
P20226	P34931
P20339	Q8TBA6
P21579	Q9ULW6
P23396	P45983
P29374	Q9Y468
P30050	Q13557
P31946	P68133
P33778	P51571
P35611	Q15149
P39656	Q92538
P40227	Q16181
P41212	Q92793
P41222	Q9Y4B4
P42224	Q96RU7
P46092	Q13099
P48552	Q9HD15
P48788	Q13976
P49354	Q12931
P49760	Q8N9M5
P49761	Q92974
P50613	Q14978
P51532	Q06455
P51532	Q86Z02
P51571	P61513
P51965	Q9Y252
P51991	Q14966
P53396	Q9NRG4
P53667	P68133
P55017	Q9HCX4
P56524	Q5PRF9
P56945	Q92569
P60510	Q5VSL9
P61457	Q00535
P61952	Q01453
P62136	Q9Y5Y6
P62263	Q13547
P62316	Q00839
P62753	Q14152
P62913	Q13501
P62945	Q6VY07
P63279	Q14676
P63279	Q8IWT3
P68400	Q86WC4
Q00403	Q15185
Q00526	Q99683
Q04206	Q14004
Q04912	Q9H6Q3
Q05193	Q13015
Q05519	Q9H1J1
Q05655	Q16288
Q07011	Q8N5C8
Q07011	Q96G74
Q08881	Q14761
A7KAX9	P78314
Q09013	Q9Y4K3
Q12841	Q71U36
Q12860	Q16623
Q13029	Q6PL18
Q13164	Q7Z6J0
Q13233	Q9UKE5
Q13315	Q2NKJ3
Q13322	Q16288
Q13574	Q13885
P0DPH7	Q13576
P0DPH8	Q13576
Q13705	Q16671
Q13950	Q15532
Q13976	Q15418
Q14008	Q99661
Q14192	Q15027
Q14451	Q6PKX4
Q14498	Q99623
Q14690	Q9NW13
Q14790	Q9BVA1
Q15025	Q8IVM0
Q15047	Q9C0K0
Q15173	Q9BWQ8
Q15287	Q99759
Q2TAZ0	Q86V97
Q53GL0	Q9H160
Q562F6	Q96KB5
Q6AI08	Q9NVI1
Q6P2Q9	Q9H211
Q6P597	Q96TC7
Q6PKG0	Q9UMS4
Q7L4I2	Q96CQ1
Q7L7X3	Q9BVA1
Q7Z6B7	Q9BY11
Q86W47	Q9Y342
Q8IX12	Q9H853
Q8IZD9	Q8TAC9
Q8N3F8	Q8NEM2
Q8NEZ4	Q9NNW7
Q8NF91	Q92845
O00180	O75493
O00231	Q12905
Q8NHY2	Q92831
Q8WZ19	Q9HCU8
Q92583	Q99731
Q92621	Q9UKI8
Q92729	Q9UKB5
Q92918	Q9Y5S2
O00329	P42331
O00459	O95782
Q96GX1	Q9NRX1
Q99801	Q9BXP8
O00567	P58317
Q9H0K1	Q9Y4B5
Q9H2W1	Q9ULZ3
Q9HCN4	Q9HCS7
Q9NYF8	Q9P2K8
Q9NZQ3	Q9Y566
Q9P2S2	Q9UJ04
O14490	Q13796
O14775	Q9UK08
O14777	Q92547
O14908	P35968
O15056	P35228
O15111	P08708
O15111	Q9BQG0
O15111	Q9NYL9
O15151	P40337
O15392	Q8WYJ6
O15460	P46092
O15516	P78413
O43164	Q8TDB6
O43167	P55064
O43463	P55345
O43639	P40189
O43749	P51582
O43795	Q6Q0C0
O60238	P63104
O60759	P32249
O60880	P46108
O60921	P42771
O75081	P06400
O75170	Q8N196
O75419	O75943
O75446	P11388
O75528	Q14999
O75886	P56945
O75914	Q02750
O75962	P49768
O76021	P62701
O94761	P0DMV9
O95067	Q8IY22
O95073	Q9BTE0
O95081	Q99932
O95196	P15529
O95819	P42574
P00519	Q86WV6
P01106	Q12982
P01106	Q99933
P01116	Q969H4
P01375	Q96CG3
P02462	Q96AC1
P02776	P61073
P02778	P04234
P04049	P18031
P05067	Q14318
P05141	P63104
P05204	P23396
P05230	Q9NZH0
P05412	P26447
P06239	Q99952
P06241	P13861
P06576	P50213
P06576	P67809
P07355	Q9Y5K6
P07766	Q06187
P07900	P11308
P08047	Q13616
P0DMV8	Q9NPI8
P0DMV9	Q9NPI8
P08237	P13929
P08754	P54652
P09619	Q07960
P10451	P78356
P11277	P16070
P11308	Q05066
P11532	Q9GZV5
P11831	P42224
P12830	Q15418
P13164	P17693
P13807	Q9Y4P1
P14316	P98168
P14625	Q96EY1
P15173	Q8N9N2
P16157	Q96SB3
P16871	Q8NHL6
P19338	P46087
P19338	P53999
P19419	P28360
P19793	Q9UIG0
P20226	P55345
P20592	P50570
P21796	Q12983
P21860	P25963
P23528	Q02750
P23528	Q9UQB8
P24941	P42680
P25205	P62308
P25685	Q9Y6K9
P26368	Q9UMN6
P28347	Q9ULH7
P29350	Q92608
P29374	P55345
P29374	Q14209
P29590	Q92844
P30040	P30101
P30307	Q13635
P30419	Q9GZZ1
P31943	Q9NZI8
P31947	Q07820
P31947	Q96IW2
P32519	Q92769
P33681	Q9Y2P0
P34910	Q9HB58
P35221	Q96QZ7
P35249	Q5BJF2
P35269	P46776
P38398	P62256
P40692	Q15853
P40937	Q13535
P42338	Q9P0K7
P42574	Q15629
P42684	P78347
P45985	Q96B97
P46527	Q07912
P46779	P46940
P47928	P54762
P48436	P51178
P49768	Q99959
P49840	Q13523
P50750	Q8IW41
P60660	Q13233
P60709	Q15628
P62995	Q9UBT2
P78543	Q06889
P85299	Q9Y2U5
Q02156	Q9NSY1
Q05066	Q8TEW8
Q12778	Q96T58
Q13435	Q9NZI8
Q13885	Q96G01
Q5C9Z4	Q9HCG8
O00168	P21246
Q8N6R0	Q9NTJ3
O00198	Q9UKT9
O00291	O94973
Q8NHQ1	Q9UNL4
Q8TEQ6	Q99759
Q8WWM7	Q9NX95
O00410	P61289
Q96EY1	Q9NUG6
Q96T88	Q99741
Q9BRP8	Q9NPI6
O00567	Q5JUX0
O43379	P50616
O43707	P11362
O43900	Q99952
O43918	P84022
O60566	Q9P287
O60684	Q8NFD5
O60925	Q9Y6U3
O75643	Q07864
O75909	Q9Y2K5
O94850	P63215
O94992	P35869
O95049	P12814
O95197	Q9UI15
P00519	Q06587
P00519	Q8NHY2
P00738	P32320
P00915	Q9NQN1
P01860	Q9BTW9
P02745	P55160
P02774	Q14019
P04066	P25774
P04198	P15531
P04637	Q9NPJ6
P04792	P11831
