O95297	P49023
O95379	P01903
O95405	Q13526
O95429	Q13233
O95619	Q9ULG1
O95718	Q15788
O95925	Q9NYV7
P01106	P20248
P01106	Q15672
P0DN86	P18146
P0DN87	P18146
P01375	P51571
P01375	Q9HAV0
P01732	Q03518
P01903	P61626
P02671	P17936
P02751	P21802
P02751	Q6NZI2
P02760	Q8WV28
P03372	P20248
P04049	P42345
P04049	Q15628
P04234	Q9Y228
P04350	Q99689
P04406	Q00839
P04629	Q9UQ49
P05164	P17213
P05230	P51693
P05362	P20749
P05787	P08729
P06213	P49759
P06213	P49815
P06748	P20749
P06756	Q13349
P07225	Q9UNN8
P07437	Q15758
P07947	P35916
P07947	Q13239
P07948	P20248
P07948	P24864
P07949	Q9UQC2
P07996	P10145
P08567	P43405
P08575	Q06418
