P06241	Q16674
P01034	P10144
O43291	P98073
Q6IQ23	Q8NDX1
O94813	Q8NHM4
Q6P9H4	Q8WXE0
Q15011	Q96RF0
Q6IQ23	Q9BRR9
P98171	Q9BSE4
Q9BRR9	Q9BXB4
Q8NDX1	Q9H4M7
Q9BXB4	Q9UIA0
O14594	Q8IU80
Q9H3R0	Q9ULD4
Q00722	Q9NZ72
O00506	P11309
P12755	P48740
P55060	P61019
P36507	Q13555
Q13043	Q16566
P42658	Q6V1X1
Q14012	Q8NG66
P00749	Q9H239
Q00537	Q9NSY1
O14745	O75603
O43149	P42772
P14543	Q01955
Q99584	Q9UJD0
P52198	Q9HCE6
P15018	Q9HD42
P04275	P04637
O15266	P56693
P45985	P61088
P55290	Q13349
P49675	Q8N5V2
Q13469	Q8NET5
O15119	Q8TD84
P57082	Q8TD84
P32004	Q9BZA7
P52564	Q9NRM7
P05556	Q9NYQ6
Q8WU20	Q9P2D1
P05556	Q9Y5E2
P05556	Q9Y5E3
P05556	Q9Y5G0
Q15306	Q15465
P10586	Q8N4X5
P63279	Q71RG4
O14562	P42336
P02776	P60953
O15020	O75962
O00421	P04201
O14843	P04201
O43193	P08100
P08100	P08908
O76093	P21579
P04201	P25106
O00421	P30411
P25106	P30411
P03999	P32245
P03999	P34981
P03999	P47898
P08100	P47898
O14842	P48039
P47775	P48039
O14843	P50391
P47775	P50391
P25106	P51685
P48145	P51685
O14843	P61073
O15552	P61073
P29320	Q01543
P43146	Q12866
O14843	Q14330
O15552	Q14330
P04201	Q14330
P25090	Q14330
P34981	Q14330
P51685	Q14330
O60522	Q5VST9
O95136	Q6U736
P48039	Q6U736
O14842	Q8NFJ6
O95136	Q8NFJ6
P51685	Q8NFJ6
P25090	Q8NGU9
P50391	Q8NGU9
Q14330	Q8NGU9
Q6U736	Q969F8
O14843	Q969N4
P34972	Q969N4
P51685	Q969N4
Q6U736	Q969N4
Q8NGU9	Q969N4
P17301	Q96L96
P30411	Q96RJ0
O00421	Q99527
O14843	Q99527
P61073	Q99527
Q8NGU9	Q99527
Q969F8	Q99527
P03999	Q99679
P34981	Q99679
P46094	Q99679
P48039	Q99679
P50391	Q99679
P48039	Q9BXC1
P21453	Q9H244
Q99679	Q9H244
Q8NGU9	Q9HC97
Q9BXC1	Q9HC97
P15498	Q9NQC7
Q86TB3	Q9UKJ0
P03999	Q9UKP6
Q8NGU9	Q9UKP6
P29374	Q9UQF2
Q6U736	Q9Y2T6
Q99527	Q9Y2T6
Q9BXC1	Q9Y2T6
Q8TDM6	Q9Y3R0
P51805	Q9Y4D7
P06213	Q96J02
Q92499	Q9BUQ8
Q5U5Z8	Q9UI42
O95716	Q15438
O15169	Q8WY64
P30530	P42081
P02751	Q01201
P02751	Q76FK4
O75116	Q7Z444
O15266	P09017
P08908	P30556
P24530	P32745
P30556	P34969
O95096	P55771
P09067	P78337
P14652	P78337
O15146	Q13094
P43146	Q14982
P50402	Q15911
Q12830	Q8IZD2
P02679	Q9BY67
P08138	Q9C000
P35367	Q9H3N8
Q9P0V3	Q9UKG1
Q13639	Q9UKP6
Q16270	Q9Y6N7
O14492	Q13751
P01133	P06213
O14788	P17275
P08476	P33681
P49418	Q9H0R8
Q6XZF7	Q96M96
P01112	Q92556
Q8IV63	Q9Y5J5
P08100	Q7Z5H5
P31749	P52952
O14641	O95813
