O75144	Q5TFQ8
P35247	Q8WTT0
Q8TDN1	Q96RP8
Q86UK0	Q9H221
Q86UK0	Q9H222
O60678	O95568
P06241	P26718
Q01658	Q07890
O14773	P29120
P48431	Q16512
P52824	Q9UBS8
P01589	P13501
O76076	P08833
P10966	P78423
P10586	Q8N126
P49023	Q96IF1
O14924	Q9UGC6
P08684	Q9NR63
P09067	P52951
Q6UB99	Q6W2J9
P06213	Q96L96
P09016	Q99801
Q86YT6	Q9H2K2
O43365	Q9HBU1
Q9H156	Q9HCK4
O14492	Q7Z6A9
P32418	Q14896
P11215	Q7Z6A9
P41143	Q96P69
Q99640	Q9NRM7
O15350	Q9HCM4
P04233	P10415
P10747	P60568
P63000	Q5VST9
P46934	Q9NQC7
O15357	Q9NZS9
P35590	Q8WZ75
Q16650	Q96FE5
P35626	Q16659
Q13164	Q9BZL6
O15169	Q9UIW0
P21554	P24530
P21462	P35368
Q12947	Q12951
P24530	Q8NDV2
P35368	Q92847
P08246	Q15306
P37231	Q07954
Q6IE81	Q9ULD4
Q4ZHG4	Q86YT9
Q7Z6G8	Q7Z6Z7
P49757	Q05516
Q5VVQ6	Q92560
O14944	Q9Y4K3
P11234	P27361
P17787	Q8NER5
P10515	P18669
P23246	Q96RS0
Q15653	Q96P20
P61106	P63000
P08567	Q7Z6J4
P35713	P56693
Q8WWQ0	Q92922
P17481	Q96LB1
Q9UN86	Q9Y566
P46108	Q99963
O95935	Q9BWV1
P13688	Q9Y5F3
Q8N7F7	Q9P0U3
P26718	Q9ULY5
O15085	O43566
O95450	P01033
P07332	P08922
O60307	P21802
P07332	P29376
P07510	P30532
P16591	P35916
P29323	Q01543
P54760	Q01543
O00591	Q04844
O00591	Q07001
P22455	Q13237
P29376	Q13470
P35916	Q13470
P21802	Q15139
P22455	Q15139
P07949	Q15772
P22455	Q15772
P22607	Q15772
P29322	Q15772
P07949	Q5VT25
P08922	Q8IWU2
Q04912	Q8IWU2
P48169	Q8WXA8
Q04844	Q8WXA8
O15020	Q9UBP9
P30532	Q9UGM1
P07949	Q9Y5S2
P21802	Q9Y5S2
A6NHN0	P01375
O75054	P01701
A0A0A6YYK7	P10966
A4FU49	P52735
A4FU49	Q14CS0
P52735	Q14CS0
O15393	Q6UDR6
P57727	Q6UDR6
P98073	Q6UDR6
Q2L4Q9	Q6UDR6
P01593	Q6UX41
P0CG47	Q8N2K1
P62979	Q8N2K1
P62987	Q8N2K1
P04432	Q96BF3
A4FU49	Q96HU1
P52735	Q96MF2
Q6UDR6	Q99895
P04432	Q9BRK3
P52735	Q9BVN2
Q6EEV6	Q9BX66
Q96NZ8	Q9BYE2
Q6EEV6	Q9H347
Q6UDR6	Q9NRS4
P01593	Q9UIR0
A4FU49	Q9UNZ2
P50613	Q9NRM7
O76041	Q02779
O14939	P12319
P07766	P51654
P49767	P59046
P59046	Q01638
P56177	Q96FE5
O95393	Q9UPY3
Q14974	Q6IQ22
Q6ZR37	Q86VW2
Q6ZR37	Q92888
Q8WZ42	Q9NZM3
P29692	P31483
Q76I76	Q9BVJ7
O60939	Q86VZ4
O00499	Q9ULM0
P09471	Q96Q42
O15524	O43541
P05231	P19438
P55268	Q15465
Q99835	Q9H4S2
O43602	Q9P2J2
Q5VVX9	Q8N2K1
Q13177	Q96GD4
P10586	Q99665
O43819	Q8N427
O95390	P34130
O00213	Q14CZ8
P24385	Q9Y4K4
O75916	Q8NI36
P19022	Q14118
P55290	Q86UR5
P35030	Q6UWY2
P35030	Q6ZMR5
P00734	Q8NHM4
P49863	Q8NHM4
Q6ZMR5	Q8NHM4
Q86WS5	Q8NHM4
P00734	Q9UKQ9
P08246	Q9UKQ9
P08567	P20929
P42768	Q13422
P61026	P84085
P36405	Q15286
P59190	Q96KC2
Q92930	Q96P47
P36406	Q9H082
P36406	Q9NP72
P61106	Q9Y689
Q99490	Q9Y689
P51159	Q13153
P58166	Q13253
P56945	Q5TCX8
P56945	Q9UJU6
P80192	Q5JRA6
O00148	P62826
P41743	Q14160
P27540	P36896
Q96RJ3	Q9BY67
P61204	Q13464
P16333	Q16760
Q14863	Q8NFW5
Q05516	Q9P2N7
O95935	P35968
Q2VWA4	Q9HCE7
Q8N423	Q9HBE5
P08246	P61769
P06756	P08754
P00519	P23443
O15379	P23258
P49675	Q9BZB8
P0DMS8	P46094
P0DMS9	P46094
P21333	P54764
P36405	Q12829
O43150	Q14644
P29320	Q16288
P35916	Q16288
Q15027	Q5VST9
P43354	Q92753
