P42166	Q6PL18
P43403	Q16832
P43686	Q9Y285
P43699	Q9NZQ3
P45973	Q92522
P45973	Q93077
P46527	Q9P0K7
P48023	P98082
P48552	P52737
P48730	Q99986
P49116	Q13569
P49715	Q02930
P49757	Q9UER7
P50395	Q969Q0
P50454	Q86UW9
P51170	Q969W9
P53779	Q5T230
P0DP23	Q15154
P0DP24	Q15154
P0DP25	Q15154
P62937	Q06481
P63104	Q15233
P98177	Q05513
Q00839	Q71UM5
Q01201	Q7Z434
Q01826	Q08999
Q04917	Q9NR30
Q12769	Q9Y3P9
Q12805	Q9BUH8
Q12906	Q9BTX3
Q13315	Q9Y248
Q13368	Q96GX1
Q13444	Q96T58
Q13490	Q8IYH5
Q15637	Q9NYV4
Q16352	Q70YC5
Q16520	Q9Y4A8
Q16825	Q96T51
Q5T5C0	Q9Y345
Q7L2Z9	Q9BT78
Q7Z401	Q9Y6M7
O00151	Q9NPC6
Q8N2W9	Q9UBW7
Q8TEL6	Q9Y6Q9
O00401	Q8WV28
O00470	P09871
Q96SL4	Q9BXJ1
O00505	P04350
O00567	Q8TEX9
Q9UL15	Q9Y230
O14595	O95425
O14920	Q96PM5
O15297	O75604
O43379	Q8WZA9
O43813	O94830
O60573	P41223
O60941	P68133
O75095	P28799
O75531	Q9Y285
O75821	Q15056
O94874	Q29RF7
O95571	P17676
O95571	Q15796
O95670	P13637
O95831	Q15653
P01258	P0DML2
P01258	P0DML3
P02533	P35908
P02538	Q9H974
P03372	Q99471
P04233	Q8IYM9
P04637	P27635
P04637	P48681
P05019	Q13219
P06400	P46736
P06732	P0CG48
P08047	Q9P1Z2
P09874	P46736
P10124	P22794
P10636	Q9P2U7
P11021	P35568
P11474	Q01094
P13501	P20333
P15036	P41240
P15498	P36507
P19971	P40305
P20042	Q99613
P20290	Q15466
P22681	P30307
P23396	P49407
P25963	Q92934
P25963	Q99942
P26358	P52732
P28482	Q9UQL6
P28908	Q14164
P29475	P42262
P30086	P63000
P30304	Q9BXS6
P31749	Q96T58
P31947	P49761
P32242	Q15475
P33681	Q8WYR1
P35222	Q13501
P36873	P51398
P36888	Q06418
P38936	Q06546
P39656	Q92685
P42574	P62714
P42679	P78314
P42768	Q9BYB0
P43246	P49450
P45983	P61024
P46087	P49368
P46934	Q05682
P47775	P50150
P47992	Q9UBD3
P48023	Q6IB77
P48050	Q9P2U7
A0AVK6	P38398
A0JLT2	P20226
P50750	Q7L5N1
P50991	Q9UHV9
P51668	Q8N488
P52630	Q12824
